,llava_dsg,llava-alt_dsg,mplug_dsg,blip1_dsg
76,-0.9607710839373405,-0.9454495221938233,-0.9551294018281934,-0.9849634888414103
77,-0.9114987347170078,-0.9059169285453232,-0.8857849422485189,-0.9114987347170078
78,-0.8893987951333767,-0.9201524924285083,-0.9259774612014167,-0.8638802600946324
79,-0.9037186481923019,-0.9232754560859271,-0.9216261946765959,-0.9365251098394543
80,-1.0,-0.9903379376602871,-1.0,-1.0
81,0.0,-0.5,-0.5,-0.5
82,-0.9999999999999999,-0.9976960201183146,-0.9251749403610777,-0.9361574831516638
83,-0.9879743491347248,-0.9951689688301437,-0.9903379376602871,-0.8338771183227709
84,-0.9901879684460666,-0.9684977914957629,-0.9147078689173908,-0.9202334972634091
85,-0.9667176661147527,-0.9758724492722595,-0.9118762863975366,-0.9373364140726513
86,-0.9492026271335406,-0.9482752309049748,-0.9220465762942266,-0.9625561586523298
87,-0.560611910581388,0.0,0.0,0.0
88,-0.5404561160153729,-0.47835065331527704,-0.299972716884183,-0.6638452233504908
89,-0.9505654294509386,-0.8787860474573451,-0.6885793507951535,-0.8707218823330893
90,-0.8958305783758903,-0.9010079514780971,-0.8783224879626016,-0.9841568470556855
91,-0.8284168695795141,-0.6595084960109914,-0.731372449834801,-0.8204126541423671
92,-0.9343531843023135,-0.9855041562276121,-0.91684967601647,-0.9855041562276121
93,-0.9481324094416371,-0.7923736859233186,-0.9073167632320207,-0.3132634170389165
94,-0.7944743745909065,-0.9712954727310268,-0.9525633670033496,-0.9849218506831177
95,-0.9027506682355334,-0.9164121284372744,-0.8950623319491724,-0.9023148949661065
96,-0.8615304195376933,-0.951341960014006,-0.8798343009438493,-0.9190502386367663
97,-0.8962069822051468,-0.8997354108424374,-0.8441586740793506,-0.9928053803045813
98,-0.6306569278696306,-0.8237548438751104,-0.6376674231700086,-0.8714305390680542
99,-0.947332647330626,-0.9887000860222261,-0.9331526063149774,-0.978514697747369
100,-0.8288624656799143,-0.705642285072797,-0.6795834670585802,-1.0
101,-0.9315680831584716,-0.9533913075602709,-0.9140381810147319,-0.9366840238204137
102,-0.877054655627946,-0.8834616167376612,-0.9628934653728713,-0.9855041562276121
103,0.0,0.0,0.0,0.0
104,-0.910574394897647,-0.9855041562276121,-0.7284595159181176,-0.9224637895999802
105,-0.9892750914400996,-0.30052038200428277,-0.8201648036931155,-0.9186143860266895
106,-1.0,-1.0,-0.9856107606091624,-0.3872983346207417
107,-0.7906659377718414,-0.8660254037844386,-0.7514691493021793,-0.408248290463863
108,-0.897653201074954,-0.8615293998655476,-0.8734122338725526,-0.8861698796117329
109,-0.8425048538807787,-0.9856107606091624,-0.9191186897335888,-0.5598237976591864
110,-0.7404243455348716,-0.7960650673204711,-0.8404262803273791,-0.8200085893167683
111,-0.9424819839382049,-0.9074852129730301,-0.9617163101410254,-0.9019607843137253
112,-0.9243816034223554,-0.9116725015517029,-0.8230983954627917,-0.9243816034223554
113,-0.6351931356955167,-0.5831012132885095,-0.773972602739726,-0.5831012132885095
114,-0.9999999999999999,-0.9999999999999999,-0.7302967433402215,-0.9898979485566356
115,-0.8799983978170806,-0.8055555555555555,-0.026110865773348233,-0.970956976391759
116,-1.0,0.0,-0.23283571710168177,-0.5
117,-0.8819171036881969,-0.7302967433402214,-0.6693280212272606,-0.39999999999999997
118,-1.0,-0.9014978717104175,-0.8857142857142855,-0.6486616257818129
119,-0.5337877801730354,-0.18391962913260815,-0.18391962913260815,-0.7253454132997471
120,-0.9584065756960463,-0.9792032878480231,-0.8463091887962275,-0.6363636363636364
121,-0.6829877767625105,-0.8964214570007951,-0.8964214570007951,-0.6306697716731441
122,-0.9733285267845753,-0.8111399430283022,-0.8215695927961294,-0.8142846880852271
123,-1.0,-0.9265986323710905,-0.9265986323710905,-0.9720775535473554
124,-0.64799108414473,-0.1549193338482967,-0.9399319657044237,-0.526274960254693
